SCHEMES,FUND NAME, A U M,LAUNCH DATE,1 DAY,7 DAY,15 DAY,30 DAY,3 MONTH,6 MONTH,1 YEAR,2 YEAR,3 YEAR,5 YEAR,7 YEAR,10 YEAR,15 YEAR,20 YEAR,25 YEAR,SINCE INCEPTION RETURN,FUND RAT,CATEGORY,CURRENT NAV,ALPHA,BETA,MEAN,STANDARD DEV,SHARPE RATIO,SORTI I NO,FUND MANAGER,AVG MAT,MODIFIED DURATION,YTM,PURCHASE MIN AMOUNT,SIP MIN AMOUNT,LARGE CAP,MID CAP,SMALL CAP,PB RATIO,PE RATIO,EXIT LOAD, EQUITY(%), DEBT(%), GOLD(%), GLOBAL EQUITY(%), OTHER(%),RS QUARD,EXPENSE RATIO,SOV,A,AA,AAA,BIG,CASH,DOWNSIDE DEVIATION,DOWNSIDE PROBABILITY
Edelweiss US Technology Equity Fund of Fund Reg (G),Edelweiss Mutual Fund,3598,05-03-2020,0.44,-4.52,-7.95,-1.04,6.69,18.77,23.4,31.01,34.97,15.27,,,,,,22.22,0,Equity: Global,31.7693,,,36.04,24.79,1.2,1.92,Bharat Lahoti,,,,0,100,96.08,0,0,0,0,1% for redemption within 90 days,0,3.92,0,96.08,0,,1.61,,,,,,3.92,,
Edelweiss US Value Equity Offshore Fund Reg (G),Edelweiss Mutual Fund,182,07-08-2013,0.2,0.06,0.65,2.67,4.41,10.62,6.08,16.69,11.81,13.41,11.91,11.15,,,,10.63,0,Equity: Global,34.8098,,,11.99,12.43,0.46,0.68,Bharat Lahoti,,,,100,100,98.17,0,0,0,0,1% for redemption within 90 days,0,1.83,0,98.17,0,,1.62,,,,,,1.83,11.081,47.1167
Franklin Asian Equity Fund (G),Franklin Templeton Mutual Fund,279,16-01-2008,0.39,-0.63,-1.43,2.07,8.75,17.83,24.03,18.79,12.75,3.12,8.29,8.48,7.9,,,7.55,0,Equity: Global,34.8103,,,18.34,16.51,0.73,1.41,Sandeep Manam,,,,0,500,91.42,3.59,2.37,2.11,16.35,1% for redemption within 365 days,34.5,2.62,0,62.88,0,,2.54,,,,,,2.62,11.4204,45.2575
Franklin Build India Fund (G),Franklin Templeton Mutual Fund,2947,04-09-2009,0.58,2.09,0.19,2,4.79,5.98,7.68,22.7,26.64,29.93,20.84,17.79,17.52,,,17.82,5,Equity: Sectoral,146.4495,5.96,0.57,25.35,15.49,1.23,1.92,Ajay Argal,,,,0,500,64.54,9.18,22.81,2.69,19.94,1% for redemption within 365 days,96.53,3.47,0,0,0,,1.98,,,,,,3.47,12.8309,45.5285
Franklin India Aggressive Hybrid Fund (G),Franklin Templeton Mutual Fund,2273,10-12-1999,0.36,1.24,0.75,0.92,3.35,3.08,7.46,15.13,14.44,15.71,13.57,11.92,12.07,13.24,15.1,13.65,4,Hybrid: Aggressive,277.091,1.35,0.79,14.05,8.88,0.88,1.26,Anuj Tagra,5.59,3.4,7.27,0,500,52.5,5.8,11.91,3.75,24.79,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",70.21,29.01,0,0,0.78,,2.04,5.89,,7.73,11.18,,4.21,7.9227,46.0705
Franklin India Arbitrage Fund Reg (G),Franklin Templeton Mutual Fund,479,19-11-2024,0.02,0.19,0.34,0.45,1.38,3,6.22,,,,,,,,,6,0,Hybrid: Arbitrage,10.6225,,,,,,,Mukesh Jain,0.99,0.98,6.52,1000,100,0,0,0,2.44,22.67,"For units in excess of 10% of the investment, 0.25% will be charged for redemption within 30 days",0,100,0,0,0,,1.01,8.33,,4.69,4.79,4.21,1.29,,
Franklin India Balanced Advantage Fund Reg (G),Franklin Templeton Mutual Fund,2779,06-09-2022,0.28,0.94,0.64,0.74,2.79,3.01,7.33,13.01,12.79,,,,,,,12.74,4,Hybrid: Balanced Advantage,14.6785,1.77,0.64,12.37,6.48,0.94,1.33,Anuj Tagra,5.6,3.41,7.16,1000,500,40.11,3.85,6.95,3.67,24.7,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",50.91,49.09,0,0,0,,1.93,10.55,,12.27,19.92,,1.18,,
Franklin India Banking & PSU Debt Fund (G),Franklin Templeton Mutual Fund,499,25-04-2014,0.06,0.13,0.39,0.55,1.94,3.12,8.21,7.9,7.52,5.88,7.29,7.22,,,,7.49,4,Debt: Banking and PSU,23.0738,5,2.28,7.35,0.91,1.18,1.97,Anuj Tagra,4.9,2.35,6.78,0,500,0,0,0,0,0,0,0,100,0,0,0,,0.52,13.29,,10.46,73.31,,2.94,1.7499,31.3536
Franklin India Conservative Hybrid Fund (G),Franklin Templeton Mutual Fund,205,28-09-2000,0.15,0.39,0.31,0.19,1.74,2.23,7.31,10.02,9.34,8.4,8.17,7.59,8.38,8.38,9.23,9.25,3,Hybrid: Conservative,92.2914,0.04,0.89,9.21,3.49,0.84,1.29,Pallab Roy,10.19,4.84,7.09,0,500,17.54,2.01,3.81,3.92,26.16,0,23.36,76.64,0,0,0,,1.41,14.19,,9.44,44.27,,8.74,4.3222,43.0122
Franklin India Corporate Debt Fund (G),Franklin Templeton Mutual Fund,1290,23-06-1997,0.04,0.13,0.35,0.45,1.65,2.95,9.27,8.41,7.76,6.04,7.15,7.23,8.17,7.5,8,8,1,Debt: Corporate Bond,102.2415,0.95,0.52,7.57,1.34,0.97,2.49,Anuj Tagra,4.18,2.21,6.92,0,500,0,0,0,0,0,0,0,100,0,0,0,,0.81,9.98,,8.94,72.15,,8.93,1.6091,29.1436
Franklin India Dividend Yield Fund (G),Franklin Templeton Mutual Fund,2352,18-05-2006,0.34,0.63,-0.26,0.99,3.87,0.81,2.08,17,17.36,22.78,17.88,15.5,13.18,,,14.48,0,Equity: Dividend Yield,139.8893,3.74,0.8,17.71,12.2,0.94,1.55,Ajay Argal,,,,0,500,59.22,8.63,16.25,2.32,15.5,1% for redemption within 365 days,76.45,6.01,0,7.65,9.89,,2.08,,,,,,6.01,11.4039,42.6829
Franklin India Dynamic Asset Allocation Active Fund of Funds (G),Franklin Templeton Mutual Fund,1285,31-10-2003,0.28,0.86,0.56,0.82,2.73,2.87,7.49,12.04,13.17,17.25,11.19,10.46,10.06,11.96,,13.76,5,Others: FoFs Domestic,168.4438,2.05,0.63,12.56,6.35,0.99,1.5,Rajasa Kakulavarapu,,,,0,500,39.98,5.95,4.7,0,0,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",50.63,49.37,0,0,0,,2.08,,,,,47.17,2.2,16.3249,44.337
Franklin India ELSS Tax Saver Fund (G),Franklin Templeton Mutual Fund,6531,10-04-1999,0.59,1.49,0.68,1.05,4.07,2.8,6.59,18.23,18.07,21,15.94,13.85,13.85,15.21,17.7,20.89,4,Equity: ELSS,1515.7193,2.13,0.94,17.46,12.55,0.89,1.3,Rajasa Kakulavarapu,,,,0,500,77.08,8.92,9.64,3.69,24.79,0,95.64,4.36,0,0,0,,1.8,,,,,,4.36,11.2379,44.4444
Franklin India Equity Savings Fund Reg (G),Franklin Templeton Mutual Fund,657,27-08-2018,0.13,0.37,0.45,0.43,1.97,3.17,6.45,8.43,8.04,9.09,7.83,,,,,7.38,3,Hybrid: Equity Savings,16.7279,0.04,0.33,7.82,2.74,0.57,0.78,Anuj Tagra,4.34,3.21,6.74,0,500,15.42,0.98,0.6,2.87,19.29,0,17.01,82.99,0,0,0,,1.12,28.89,,12.33,20.82,,6.02,,
Franklin India Feeder Franklin European Growth Fund (G),Franklin Templeton Mutual Fund,18,16-05-2014,0,0,0.02,-0.07,13.82,19.68,6.62,9.48,11.6,7.91,1.76,2.22,,,,1.3,0,Equity: Global,11.5489,,,9.54,18.18,0.18,0.31,Sandeep Manam,,,,0,0,98.76,0,0,0,0,1% for redemption within 365 days,0,1.24,0,98.76,0,,1.33,,,,,,1.24,13.6821,49.446
Franklin India Flexi Cap Fund (G),Franklin Templeton Mutual Fund,18912,29-09-1994,0.53,1.63,0.87,1.28,4.18,3.11,7.51,18.27,18.04,21.64,16.9,14.54,14.17,16.2,19.16,18.3,4,Equity: Flexi Cap,1682.5281,2.1,0.92,17.31,12.38,0.89,1.31,Rajasa Kakulavarapu,,,,0,500,76.07,11.32,8.94,3.63,24.59,1% for redemption within 365 days,96.33,3.67,0,0,0,,1.69,0.25,,,,,3.42,11.0284,43.7669
Franklin India Floating Rate Fund (G),Franklin Templeton Mutual Fund,327,23-04-2001,0.04,0.06,0.24,0.48,1.38,2.74,7.95,8.07,7.82,6.16,6.36,6.32,6.48,6.17,,5.93,3,Debt: Floater,41.7822,5.15,2.2,7.63,0.97,1.41,1.82,Pallab Roy,6.14,2.08,6.97,0,1000,0,0,0,0,0,0,0,100,0,0,0,,0.98,50.94,,15.54,21.64,,11.88,0.5211,11.3032
Franklin India Focused Equity Fund (G),Franklin Templeton Mutual Fund,12303,26-07-2007,0.57,1.86,1.04,0.91,3.77,5.62,8.29,17.2,16,21.1,16.71,14.33,14.79,,,14.07,4,Equity: Focused,111.5945,0.89,0.85,15.41,11.78,0.78,1.11,Ajay Argal,,,,1000,500,76.83,12.3,6.65,3.76,26.51,1% for redemption within 365 days,95.78,4.22,0,0,0,,1.76,0.2,,,,,4.02,12.5423,45.393
Franklin India Government Securities Fund (G),Franklin Templeton Mutual Fund,173,07-12-2001,0.01,-0.01,0.13,-0.09,1.37,-0.31,5.65,6.43,5.97,4.56,6.08,5.7,6.54,6.91,,6.7,4,Debt: Gilt Fund,59.0831,-1.33,0.58,6.12,2.36,-0.06,-0.07,Anuj Tagra,18.81,5.85,6.75,0,500,0,0,0,0,0,0,0,100,0,0,0,,1.19,84.74,,,,,15.26,3.8302,44.7514
Franklin India Income Plus Arbitrage Active FoF (G),Franklin Templeton Mutual Fund,76,28-11-2014,0.03,0.12,0.3,0.38,1.55,3.28,14.88,15.08,13.55,14.25,8.73,7.81,,,,7.19,0,Hybrid: Multi-Asset,21.4315,,,13.39,4.66,1.53,2.91,Pallab Roy,,,,0,500,0,0,0,0,0,0,0,100,0,0,0,,0.54,,,,,94.11,5.89,19.1466,45.442
Franklin India Large & Mid Cap Fund (G),Franklin Templeton Mutual Fund,3529,02-03-2005,0.66,1.07,0.37,1.32,4.15,5.82,9.51,18.49,17.59,19.27,14.61,12.44,12.25,14.41,,15.48,3,Equity: Large & Mid Cap,197.2546,1.8,0.99,17.17,13.21,0.83,1.25,R Janakiraman,,,,0,500,40.62,35.88,21.36,4.5,30.08,1% for redemption within 365 days,96.49,2.14,0,1.37,0,,2,,,,,,2.14,10.911,45.935
Franklin India Large Cap Fund (G),Franklin Templeton Mutual Fund,7669,01-12-1993,0.49,1.53,1.56,1.5,4.55,4.73,9.29,17.03,14.78,16.3,13.29,11.92,10.97,13.55,16.69,19.09,4,Equity: Large Cap,1063.2463,0.16,0.94,14.53,11.77,0.7,1.07,Ajay Argal,,,,0,500,89.39,4.89,2.99,4.04,25.14,1% for redemption within 365 days,95.38,2.73,0,1.89,0,,1.84,,,,,,2.73,11.1168,45.7995
Franklin India Liquid Fund Super Ins (G),Franklin Templeton Mutual Fund,3236,02-09-2005,0.02,0.11,0.24,0.47,1.45,3.01,6.72,7.05,7,5.72,5.77,6.22,7.19,7.14,,7.12,5,Debt: Liquid,4017.8924,1.14,0.35,6.8,0.16,3.26,4.59,Pallab Roy,0.18,0.18,6.04,0,500,0,0,0,0,0,Exit load of 0.0070% if redeemed within 1 day 0.0065% if redeemed within 2 days 0.0060% if redeemed within 3 days 0.0055% if redeemed within 4 days 0.0050% if redeemed within 5 days 0.0045% if redeemed within 6 days.,0,100,0,0,0,,0.2,22.75,,3.15,84.35,,-10.25,0.0736,0.4301
Franklin India Long Duration Fund Reg (G),Franklin Templeton Mutual Fund,30,11-12-2024,0,-0.1,-0.1,-0.74,1.47,-1.2,,,,,,,,,,5.11,0,Debt: Long Duration,10.4767,,,,,,,Anuj Tagra,31.32,11.07,7.21,1000,500,0,0,0,0,0,0,0,100,0,0,0,,0.77,63.91,,,,,36.09,,
Franklin India Low Duration Fund Reg (G),Franklin Templeton Mutual Fund,418,06-03-2025,0.05,0.13,0.34,0.59,1.66,3.4,,,,,,,,,,7.79,0,Debt: Low Duration,10.5596,,,,,,,Chandni Gupta,,,,1000,500,0,0,0,0,0,0,0,100,0,0,0,,0.74,19.42,,10.91,65.61,,4.06,,
Franklin India Medium to Long Duration Fund Reg (G),Franklin Templeton Mutual Fund,51,24-09-2024,0.03,0.08,0.23,0.24,1.3,1.52,7.62,,,,,,,,,7.18,0,Debt: Medium to Long Duration,10.8282,,,,,,,Anuj Tagra,11.18,5.17,6.97,1000,500,0,0,0,0,0,0,0,100,0,0,0,,0.85,43.34,,15.26,28.75,,12.65,,
Franklin India Mid Cap Fund (G),Franklin Templeton Mutual Fund,12213,01-12-1993,1.01,1.77,1.63,2.99,5.51,5.57,8.26,21.87,23.04,22.33,17.87,15.76,16,15.45,22.13,19.2,4,Equity: Mid Cap,2840.2063,-0.09,0.91,20.83,14.72,0.99,1.42,Akhil Kalluri,,,,0,500,13.91,66.72,15.9,4.01,32.86,1% for redemption within 365 days,96.53,3.47,0,0,0,,1.76,0.2,,,,,3.27,11.7171,43.3604
Franklin India Money Market Fund Reg (G),Franklin Templeton Mutual Fund,4440,11-02-2002,0.05,0.12,0.28,0.5,1.52,3.26,7.63,7.59,7.48,5.99,6.44,6.75,7.48,7.37,,7.13,4,Debt: Money Market,51.4444,2.55,0.9,7.27,0.34,2.93,6.55,Chandni Gupta,0.4,0.4,6.19,0,500,0,0,0,0,0,0,0,100,0,0,0,,0.3,13.13,,,82.79,,4.08,0.4515,7.3204
Franklin India Multi Asset Allocation Fund Reg (G),Franklin Templeton Mutual Fund,2086,31-07-2025,0.03,1.29,1.14,-0.51,5.31,,,,,,,,,,,15.54,0,Hybrid: Multi-Asset,10.5238,,,,,,,Pallab Roy,0.85,0.79,6.49,1000,500,51.45,7.23,6.78,3.95,26.58,"For units in excess of 10% of the investment, 0.5% will be charged for redemption within 1 year",65.46,19.49,6.86,0,8.19,,1.92,0.82,,,12.78,5.21,0.68,,
Franklin India Multi Cap Fund Reg (G),Franklin Templeton Mutual Fund,4969,29-07-2024,0.72,1.77,1.3,2.56,7.35,8.04,10.05,,,,,,,,,5.54,0,Equity: Multi Cap,10.728,,,,,,,Akhil Kalluri,,,,1000,500,38.24,27.32,30.28,3.2,24.32,1% for redemption within 1 year,95.84,4.16,0,0,0,,1.82,,,,,,4.16,,
Franklin India NSE Nifty 50 Index Fund (G),Franklin Templeton Mutual Fund,742,04-08-2000,0.39,1.69,1.14,1.24,5.63,4.6,11.22,15.45,12.87,15.57,13.87,12.94,10.47,,,12.11,3,Equity: Index,210.0157,-1.3,0.94,13.05,11.6,0.59,0.97,Shyam Sundar Sriram,,,,0,500,99.33,0,0.47,3.54,23.24,0,99.8,0.2,0,0,0,,0.63,,,,,,0.2,11.8655,47.1545
Franklin India Opportunities Fund (G),Franklin Templeton Mutual Fund,7766,21-02-2000,0.56,1.21,0.34,1.2,5.19,6.29,9.48,27.31,29.42,25.7,21.08,16.96,14.52,15.06,15.71,13.6,0,Equity: Thematic,262.9859,11.45,1.02,27.56,15.36,1.39,1.88,Kiran Sebastian,,,,0,500,49.29,12.92,31.43,3.75,30.7,1% for redemption within 365 days,91.29,6.36,0,2.35,0,,1.75,0.3,,,,,6.06,12.0561,44.9864
Franklin India Overnight Fund (G),Franklin Templeton Mutual Fund,615,08-05-2019,0.01,0.1,0.21,0.44,1.36,2.73,5.94,6.28,6.35,5.26,,,,,,4.98,3,Debt: Overnight,1373.7935,0.12,0.12,6.18,0.13,-0.67,-0.94,Pallab Roy,,,5.67,0,500,0,0,0,0,0,0,0,100,0,0,0,,0.11,4.86,,,,,95.14,,
Franklin India Retirement Fund (G),Franklin Templeton Mutual Fund,521,31-03-1997,0.21,0.66,0.45,0.47,2.08,2.42,6.7,11.08,10.31,9.4,9.1,8.41,9.31,9.61,10.98,11.43,0,Solution: Retirement Debt,222.5084,0.02,0.56,10.14,5.21,0.74,1.12,Anuj Tagra,6.75,3.92,7.17,0,0,29.05,3.34,5.97,3.92,26.23,For Redemption or switch out of units before the attainment of retirement age i.e 58 years,38.36,61.64,0,0,0,,2.26,7.56,,9.73,40.9,,3.45,6.1126,45.3189
Franklin India Small Cap Fund (G),Franklin Templeton Mutual Fund,13266,13-01-2006,0.96,1.38,0.42,2.35,4.07,1.88,1.07,12.97,22.03,27.01,18.72,16.07,17.25,,,15.41,4,Equity: Small Cap,172.3927,1.68,0.84,21.21,16.68,0.9,1.21,Akhil Kalluri,,,,0,500,5.64,8.24,84.29,3.11,27.94,1% for redemption within 365 days,98.17,1.83,0,0,0,,1.74,0.18,,,,,1.65,12.0397,41.0569
Franklin India Technology Fund (G),Franklin Templeton Mutual Fund,1868,22-08-1998,0.25,0.6,-0.72,1.74,3.53,4.01,-1.46,15.81,21.5,17.21,19.17,16.6,14.99,14.46,12.81,15.73,0,Equity: Sectoral,522.3135,12.91,0.75,22.24,16.34,0.98,1.78,R Janakiraman,,,,0,500,77.84,10.86,8.99,6.83,27.53,1% for redemption within 365 days,76.53,2.31,0,21.16,0,,2.1,,,,,,2.31,11.5361,46.477
Franklin India Ultra Short Duration Fund Reg (G),Franklin Templeton Mutual Fund,307,29-08-2024,0.04,0.1,0.26,0.5,1.54,3.27,7.19,,,,,,,,,7.19,0,Debt: Ultra Short Duration,10.8833,,,,,,,Pallab Roy,,,,1000,500,0,0,0,0,0,0,0,100,0,0,0,,0.73,13.32,,8.8,75.2,,2.68,,
Franklin U.S. Opportunities Equity Active FoF (G),Franklin Templeton Mutual Fund,4437,06-02-2012,-1.05,-3.58,-5.24,-1.84,-1.06,7.92,6.36,20.8,22.77,9.99,15.37,14.19,,,,15.99,0,Equity: Global,77.9143,,,23.4,16.48,1.04,1.49,Sandeep Manam,,,,0,500,98.9,0,0,0,0,1% for redemption within 365 days,0,1.1,0,98.9,0,,1.54,,,,,,1.1,13.8629,45.9834
Groww Aggressive Hybrid Fund (G),Groww Mutual Fund,49,13-12-2018,0.32,0.7,0.6,0.17,2.98,3.71,6,13.29,11.74,12.34,,,,,,11.38,2,Hybrid: Aggressive,21.2505,-1.42,0.83,11.62,9.38,0.57,0.94,Anupam Tiwari,0.07,0.02,6.64,0,500,56.32,7.82,4.84,3.45,22.53,1% for redemption within 7 days,68.98,31.02,0,0,0,,2.38,15.72,,1.01,,,14.29,,
Groww Banking & Financial Services Fund Reg (G),Groww Mutual Fund,57,06-02-2024,0.53,0.88,1.81,2.11,4.65,7.08,13.12,,,,,,,,,11.69,0,Equity: Sectoral,12.1192,,,,,,,Anupam Tiwari,,,,500,100,52.42,15.78,28.74,2.78,18.93,1% for redemption within 30 days,96.94,3.06,0,0,0,,2.3,,,,,,1.5,,
Groww BSE Power E T F FOF (G),Groww Mutual Fund,6,07-08-2025,1.18,1.18,-1.67,-0.16,3.04,,,,,,,,,,,9.72,0,Others: FoFs Domestic,10.315,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,0,99.91,0,0,0,0,99.91,0.09,0,0,0,,0.6,,,,,,0.09,,
Groww ELSS Tax Saver Fund Reg (G),Groww Mutual Fund,51,28-12-2017,0.65,0.75,0.2,-0.74,1.46,4.66,3.75,14.64,13.43,14.37,12.03,,,,,9.33,2,Equity: ELSS,20.22,-1.8,0.97,13.82,13.48,0.56,0.75,Paras Matalia,,,,500,500,57.54,22.12,17.4,4,27.56,0,97.06,2.94,0,0,0,,2.3,,,,,,2.94,,
Groww Gilt Fund (G),Groww Mutual Fund,39,09-05-2025,-0.07,-0.53,-0.48,-1.53,-0.03,-3.09,,,,,,,,,,-3.64,0,Debt: Gilt Fund,9.791,,,,,,,Kaustubh Sule,27.5,9.98,6.97,500,100,0,0,0,0,0,0,0,100,0,0,0,,1.49,90.45,,,,,9.55,,
Groww Gold E T F FOF Reg (G),Groww Mutual Fund,51,06-11-2024,-1.82,0.27,1.99,-5.21,21.79,29.38,60.81,,,,,,,,,52.37,0,Gold: Gold Funds,15.1648,,,,,,,Wilfred Peter Gonsalves,,,,500,100,0,0,0,0,0,1% for redemption within 30 days,0,0.67,99.33,0,0,,0.55,,,,,,0.67,,
Groww Large Cap Fund (G),Groww Mutual Fund,128,10-02-2012,0.38,0.93,0.61,0.52,4.5,5.77,8.77,16.1,13.63,14.01,12.28,11.95,,,,11.37,2,Equity: Large Cap,44.38,-0.81,0.97,13.84,12.31,0.62,0.98,Anupam Tiwari,,,,500,500,88.48,3.19,1.1,3.65,24.31,1% for redemption within 7 days,92.77,7.23,0,0,0,,2.46,,,,,,7.23,13.7063,41.6779
Groww Liquid Fund (G),Groww Mutual Fund,155,25-10-2011,0.02,0.11,0.24,0.49,1.44,3,6.68,7.02,6.9,5.59,5.56,6.08,,,,6.97,5,Debt: Liquid,2580.8015,0.99,0.32,6.71,0.17,2.54,4.1,Kaustubh Sule,0.17,0.17,5.79,500,500,0,0,0,0,0,Exit load of 0.0070% if redeemed within 1 day 0.0065% if redeemed within 2 days 0.0060% if redeemed within 3 days 0.0055% if redeemed within 4 days 0.0050% if redeemed within 5 days 0.0045% if redeemed within 6 days.,0,100,0,0,0,,0.2,13.56,,,75.53,,10.91,0.021,0.4583
Groww Multi Asset Allocation Fund Reg (G),Groww Mutual Fund,274,30-09-2025,-0.03,0.75,0.73,-0.05,0,,,,,,,,,,,9.99,0,Hybrid: Multi-Asset,10.1311,,,,,,,Kaustubh Sule,,,,0,0,32.79,8.89,0.19,0,0,1% for redemption within 30 days,41.87,48.34,6.23,0,3.56,,2.28,6.45,,,10.94,7.04,5.3,,
Groww Multi Cap Fund Reg (G),Groww Mutual Fund,196,16-12-2024,0.2,0.91,1.04,1.6,5.72,10.53,,,,,,,,,,8.27,0,Equity: Multi Cap,10.7695,,,,,,,Anupam Tiwari,,,,500,500,32.07,26.41,34.39,5.06,32.55,1% for redemption within 1 year,92.87,7.13,0,0,0,,2.3,,,,,,7.13,,
Groww Nifty 200 E T F FoF (G),Groww Mutual Fund,5,28-02-2025,0.42,1.45,1.25,1.57,5.8,4.77,,,,,,,,,,27.83,0,Equity: Large & Mid Cap,12.0972,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,0,0,99.94,0,0,1% for redemption within 30 days,99.94,0.06,0,0,0,,0.7,,,,,,0.06,,
Groww Nifty 50 Index Reg (G),Groww Mutual Fund,13,21-07-2025,0.39,1.67,1.11,1.19,5.42,,,,,,,,,,,9.75,0,Equity: Index,10.3581,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,99.15,0,0.43,3.54,23.24,0,99.58,0.42,0,0,0,,1,,,,,,0.42,,
Groww Nifty 500 Momentum 50 E T F FoF (G),Groww Mutual Fund,7,24-04-2025,0.82,1.09,2.01,1.78,6.06,3.03,,,,,,,,,,14.27,0,Equity: Flexi Cap,10.8692,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,0,0,100,0,0,1% for redemption within 30 days,100,0,0,0,0,,0.65,,,,,,,,
Groww Nifty EV & New Age Automotive E T F FOF Reg (G),Groww Mutual Fund,155,12-08-2024,1.22,1.51,1.46,2.39,8.3,6.76,3.94,,,,,,,,,-3.04,0,Equity: Thematic,9.5834,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,42.55,40.83,16.62,0,0,1% for redemption within 30 days,100,0,0,0,0,,0.62,,,,,,,,
Groww Nifty India Defence E T F FoF Reg (G),Groww Mutual Fund,79,11-10-2024,-0.05,2.21,1.99,2.19,5.71,-1.71,35.3,,,,,,,,,18.9,0,Equity: Thematic,12.1409,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,59.22,22.16,18.62,0,0,1% for redemption within 30 days,100,0,0,0,0,,0.63,,,,,,,,
Groww Nifty India Internet E T F FoF Reg (G),Groww Mutual Fund,9,03-07-2025,2.24,1.28,0.34,-0.13,2.84,,,,,,,,,,,22.18,0,Equity: Thematic,10.8999,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,0,0,100,0,0,0,100,0,0,0,0,,0.65,,,,,,,,
Groww Nifty India Railways PSU Index Fund Reg (G),Groww Mutual Fund,46,04-02-2025,1.01,1.66,-1.1,-0.16,1.19,-9.26,,,,,,,,,,-6.38,0,Equity: Index,9.4641,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,35,54.11,10.78,2.02,18.92,1% for redemption within 30 days,99.89,0.11,0,0,0,,1.07,,,,,,0.11,,
Groww Nifty Midcap 150 Index Fund (G),Groww Mutual Fund,,,0.6,0.6,0.6,0,0,,,,,,,,,,,11.62,,Equity: Mid Cap,10.0604,,,,,,,,,,,0,0,,,,,,,99.9,0.1,0,0,0,,,,,,,,,,
Groww Nifty Next 50 Index Fund (G),Groww Mutual Fund,6,25-08-2025,0.52,0.73,0.43,1.11,3.36,,,,,,,,,,,12.43,0,Equity: Index,10.3361,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,90.14,6.57,2.65,3.74,21.83,0,99.36,0.64,0,0,0,,1,,,,,,0.64,,
Groww Nifty Next 50 Index Fund IDCW,Groww Mutual Fund,6,25-08-2025,0.52,0.73,0.43,1.11,3.36,,,,,,,,,,,12.43,0,Equity: Index,10.3361,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,90.14,6.57,2.65,3.74,21.83,0,99.36,0.64,0,0,0,,1,,,,,,0.64,,
Groww Nifty Non-Cyclical Consumer Index Fund Reg (G),Groww Mutual Fund,49,22-05-2024,0.47,2.26,0.5,-1.11,1.86,2.59,5.97,,,,,,,,,7.56,0,Equity: Index,11.1421,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,84.64,14.61,0.75,11.21,45.28,1% for redemption within 30 days,100,0,0,0,0,,1,,,,,,,,
Groww Nifty Smallcap 250 Index Fund Reg (G),Groww Mutual Fund,117,29-02-2024,0.68,1.07,-0.49,0.86,3.22,4.83,1.97,,,,,,,,,7.4,0,Equity: Index,11.3705,,,,,,,Aakash Ashokkumar Chauhan,,,,500,100,0,8.48,91.46,0,35.35,0.25% for redemption within 7 days,99.94,0.06,0,0,0,,1.05,,,,,,0.06,,
Groww Nifty Total Market Index Fund Reg (G),Groww Mutual Fund,339,23-10-2023,0.49,1.48,0.99,1.53,5.39,4.88,8.66,16.21,,,,,,,,18.5,0,Equity: Index,14.1205,,,,,,,Aakash Ashokkumar Chauhan,,,,100,100,67.45,18.5,14.05,3.69,26,0.25% for redemption within 7 days,100,0,0,0,0,,1.05,,,,,,,,
Groww Overnight Fund (G),Groww Mutual Fund,174,08-07-2019,0.01,0.1,0.21,0.44,1.31,2.66,5.79,6.18,6.19,5.13,,,,,,4.84,2,Debt: Overnight,1354.2706,-0.06,0.1,6.03,0.15,-1.58,-2.91,Kaustubh Sule,,,5.38,0,500,0,0,0,0,0,0,0,100,0,0,0,,0.24,0.28,,,,,99.72,,
Groww Short Duration Fund Reg (G),Groww Mutual Fund,139,13-09-2013,0,0.02,0.23,0.33,1.49,2.76,7.82,7.36,6.62,4.8,5.22,5.78,,,,6.38,1,Debt: Short Duration,2132.3524,4.52,2.48,6.54,1.02,0.27,0.55,Kaustubh Sule,3.29,2.85,6.71,0,100,0,0,0,0,0,0,0,100,0,0,0,,1,17.57,,,75.05,,7.38,1.1171,23.8621
Groww Silver E T F FOF (G),Groww Mutual Fund,36,23-05-2025,-2.72,2.28,3.89,-7.68,30.39,51.12,,,,,,,,,,113.26,0,Equity: Thematic,15.1119,,,,,,,Wilfred Peter Gonsalves,,,,500,100,0,0,0,0,0,1% for redemption within 30 days,0,0.86,0,0,99.14,,0.63,,,,,0.85,0.01,,
